id,year_fosm,year_openalex
10.1002/ird.2239,2020,2018
10.1002/glia.23768,2020,2019
10.1063/1.4994035,2018,2017
10.1016/j.adolescence.2016.11.005,2017,2016
10.1111/jems.12329,2020,2019
10.1128/aac.01540-13,2013,2014
10.1080/13825585.2016.1143444,2016,2017
10.7202/1066712ar,2019,2020
10.1515/nanoph-2016-0112,2016,2017
10.1122/1.5048051,2019,2018
10.1111/dom.13574,2019,2018
10.1016/j.ypmed.2020.106178,2020,2021
10.1002/ppul.24497,2019,2020
10.1038/s41436-018-0284-1,2018,2019
10.1063/1.4828363,2014,2013
10.1111/sltb.12600,2020,2019
10.1051/0004-6361/201526328,2016,2015
10.5802/ahl.3,2018,2019
10.1111/jdv.15999,2020,2019
10.5185/amp.2020.020398,2020,2021
10.1002/9781119421344.ch18,2017,2016
10.3917/cdge.067.0141,2019,2020
10.1016/j.therap.2017.12.009,2018,2021
10.1122/1.4902000,2015,2014
10.1063/1.4993669,2018,2017
10.7202/1062499ar,2018,2019
10.1080/00358533.2015.1112638,2015,2016
10.1002/9781119040293.ch3,2015,2014
10.7202/1038865ar,2016,2017
10.1063/1.4932977,2016,2015
10.1016/j.therap.2019.12.007,2019,2021
10.1063/1.4935234,2016,2015
10.1007/s00464-015-4460-y,2015,2016
10.1002/hep.30875,2019,2020
10.4337/ejeep.2019.0043,2018,2019
10.1063/1.4828370,2014,2013
10.1007/s10687-016-0273-1,2016,2017
10.1002/evl3.210,2020,2021
10.1002/anie.201912211,2020,2019
10.1002/9781119068761.app2,2017,2016
10.1063/1.4935399,2016,2015
10.7202/1060897ar,2018,2019
10.1515/polyeng-2020-0073,2020,2021
10.1063/1.4849416,2014,2013
10.7202/1067737ar,2019,2020
10.1063/1.4931618,2016,2015
10.1038/s41379-018-0155-y,2019,2018
10.1063/1.4994210,2018,2017
10.1111/let.12181,2016,2017
10.1116/1.5122749,2020,2019
10.3917/soco.099.0169,2015,2016
10.7202/1062494ar,2018,2019
10.1002/lary.27445,2018,2019
10.1002/9781118735985.ch11,2016,2015
10.1002/ijc.32660,2020,2019
10.1002/anie.201810327,2019,2018
10.1002/9781119068761.ch14,2017,2016
10.1063/1.4972874,2017,2016
10.1002/9781119040354.ch3,2015,2014
10.1002/9781119068761.ch2,2017,2016
10.7202/1042436ar,2014,2015
10.3917/enic.025.0135,2018,2019
10.1002/9781119040354.ch19,2015,2014
10.1007/s00264-019-04385-z,2019,2020
10.1116/6.0000655,2021,2020
10.1681/asn.2014111120,2016,2015
10.1063/5.0022120,2021,2020
10.7202/1066714ar,2019,2020
10.1128/ec.00172-13,2013,2014
10.7202/1033342ar,2014,2015
10.1063/1.5045645,2019,2018
10.1007/s00330-016-4650-6,2016,2017
10.1002/jbio.202000327,2020,2021
10.1158/0008-5472.can-20-2292,2020,2021
10.1016/j.euf.2020.06.018,2020,2021
10.12660/bre.v34n12014.20485,2015,2014
10.1063/1.5006269,2018,2017
10.1111/jdv.16110,2020,2019
10.20870/productions-animales.2017.30.4.2266,2018,2017
10.1063/1.4832064,2014,2013
10.4049/jimmunol.1301277,2014,2013
10.1080/03610926.2015.1116578,2016,2017
10.1002/9781119068761.ch11,2017,2016
10.1002/ird.2224,2020,2018
10.1111/nep.13673,2020,2019
10.3917/rfap.176.0079,2020,2021
10.1038/labinvest.2014.131,2015,2014
10.1111/epp.12623,2020,2019
10.4049/jimmunol.1501810,2016,2015
10.3945/ajcn.114.092486,2015,2014
10.1063/1.5047578,2019,2018
10.1002/gea.21778,2020,2019
10.1002/jid.3416,2020,2019
10.1111/tme.12648,2020,2019
10.1111/jth.14633,2020,2019
10.1116/6.0000969,2021,2020
10.1080/08897077.2016.1219438,2016,2017
10.7202/1068533ar,2019,2020
10.1111/vox.12867,2019,2020
10.1016/j.eurpsy.2016.07.009,2017,2016
10.1128/jcm.02843-13,2013,2014
10.1063/1.4934687,2016,2015
10.7202/1066710ar,2019,2020
10.21754/tecnia.v26i2.55,2017,2016
10.1145/2619088,2014,2015
10.7202/1039168ar,2015,2017
10.1002/wer.1255,2020,2019
10.1063/1.4826683,2014,2013
10.7202/1061778ar,2018,2019
10.4000/norois.9484,2019,2020
10.1681/asn.2013030290,2014,2013
10.3917/pdc.007.0113,2016,2017
10.3917/rfse.012.0015,2013,2014
10.1681/asn.2014090947,2016,2015
10.1116/1.4828955,2014,2013
10.1063/1.4935229,2016,2015
10.1145/2872887.2750389,2015,2016
10.1007/s10208-016-9328-6,2016,2017
10.4049/jimmunol.1402664,2016,2015
10.1002/9781118630013.ch18,2015,2014
10.7202/1044667ar,2018,2016
10.1116/1.4903366,2015,2014
10.7202/1063702ar,2016,2019
10.1111/eva.12904,2020,2019
10.1116/6.0000653,2021,2020
10.2215/cjn.12941213,2015,2014
10.1111/tme.12657,2020,2019
10.7202/1060892ar,2018,2019
10.7202/1060836ar,2018,2019
10.1116/1.4938556,2016,2015
10.1002/jsfa.7209,2015,2016
10.3904/kjim.2020.217,2021,2020
10.1111/ejss.12190,2014,2015
10.1111/evj.13382,2020,2021
10.7202/1073339ar,2019,2020
10.1111/ner.13289,2020,2021
10.1111/btp.12710,2020,2019
10.1063/1.4828367,2014,2013
10.1116/1.4999561,2018,2017
10.3851/imp3339,2019,2018
10.7202/1067735ar,2020,2019
10.1093/imanum/drx023,2017,2018
10.1063/1.5054576,2019,2018
10.1116/1.5004127,2018,2017
10.1002/ird.2241,2020,2018
10.7202/1060895ar,2018,2019
10.1002/evl3.93,2018,2019
10.1002/ird.2308,2020,2018
10.7202/1067815ar,2019,2020
10.1063/1.4994207,2018,2017
10.1212/wnl.0000000000011410,2020,2021
10.1002/eji.201948284,2020,2019
10.1002/ird.2121,2020,2017
10.1162/comj_a_00485,2018,2019
10.1063/1.4935227,2016,2015
10.1111/let.12248,2018,2017
10.1515/crelle-2016-0033,2016,2019
10.1121/1.4832335,2014,2013
10.1063/1.4990612,2018,2017
10.7202/1060893ar,2018,2019
10.1111/ajt.13529,2016,2015
10.1002/ird.2071,2020,2016
10.1121/1.4903920,2015,2014
10.1116/1.4853675,2014,2013
10.1109/tits.2020.3003820,2021,2019
10.1116/1.4904547,2015,2014
10.1002/9781119068761.ch35,2017,2016
10.1116/1.4998345,2018,2017
10.1111/ajt.15584,2020,2019
10.1007/s10732-018-9383-z,2018,2019
10.3917/enic.016.0049,2014,2015
10.1002/9781119068761.ch27,2017,2016
10.1038/mi.2016.86,2017,2016
10.1007/978-3-030-03574-7_9,2018,2019
10.1111/exsy.12486,2020,2019
10.1063/1.4931802,2016,2015
10.1111/adb.12137,2014,2015
10.7202/1063705ar,2016,2019
10.1116/1.5057404,2019,2018
10.7202/1061777ar,2018,2019
10.1116/1.4999409,2018,2017
10.1002/ird.2205,2020,2017
10.1111/jcmm.12718,2016,2015
10.1002/9781119227625.ch9,2017,2016
10.1116/1.4855175,2014,2013
10.1111/sed.12582,2020,2019
10.1007/s00466-016-1341-8,2016,2017
10.1093/imrn/rny003,2018,2019
10.1007/s11118-018-9753-z,2018,2020
10.1002/9781119068761.ch28,2017,2016
10.7202/1062490ar,2018,2019
10.1063/1.4828374,2014,2013
10.1111/ejn.13846,2020,2018
10.7202/1068540ar,2019,2020
10.1681/asn.2013090968,2015,2014
10.1080/10253890.2017.1389882,2017,2018
10.1609/aimag.v37i4.2691,2017,2016
10.1063/1.5001387,2018,2017
10.1063/1.5007920,2018,2017
10.1113/jp277306,2020,2019
10.1063/1.4936248,2016,2015
10.1038/mi.2016.49,2017,2016
10.1002/minf.201900087,2020,2019
10.7202/1060834ar,2018,2019
